Quality,Angle,Distance
59,124.0625,9983.75
2,124.0625,10075.75
16,4.0625,10390.75
29,124.03125,101.25
12,4.03125,360.75
6,124.03125,351.25
11,124.03125,547.75
8,124.125,1683.25
18,124.125,1727.25
41,124.125,1820.25
2,124.046875,2349.25
0,124.046875,2394.25
45,124.0625,2916.75
53,124.046875,3170.75
50,124.046875,3218.75
47,124.046875,3317.75
20,124.046875,3414.75
15,124.046875,3503.25
35,124.046875,3729.25
52,124.453125,4852.25
4,116.453125,5038.75
14,124.484375,5130.75
41,124.53125,5224.25
14,4.546875,5562.75
20,124.546875,5519.75
7,124.0625,5899.25
60,124.0625,5995.25
37,124.0625,6323.25
35,124.0625,6363.75
29,124.0625,6549.75
30,124.0625,6646.25
30,124.0625,6691.25
47,124.03125,7044.75
46,4.03125,7186.75
1,124.015625,7691.75
1,124.015625,7738.25
2,124.015625,7784.75
46,124.078125,8213.25
63,124.0625,8307.25
50,124.0625,8358.25
26,124.0625,8454.75
52,124.0625,8638.25
31,124.0625,8788.25
26,124.0625,8832.75
11,124.0625,8974.75
4,124.0625,9067.75
1,124.0625,9276.75
51,124.0625,9424.75
46,4.0625,9692.75
46,124.0625,9613.25
46,124.0625,9663.25
47,124.0625,9703.75
50,124.0625,9798.75
52,124.0625,9843.75
56,124.0625,9942.25
59,124.0625,9981.25
2,124.0625,10072.25
6,124.0625,10122.25
10,124.0625,10165.25
29,124.03125,113.25
12,4.03125,361.75
11,124.03125,548.75
2,4.109375,872.75
45,124.125,1888.25
23,124.046875,2158.75
25,124.046875,2211.75
5,124.046875,2310.25
0,124.046875,2351.25
30,124.0625,2871.75
47,124.046875,3324.75
14,124.046875,3456.75
15,124.046875,3510.75
36,124.046875,3730.75
38,124.046875,3837.25
8,4.03125,4404.75
59,124.453125,4863.25
12,124.546875,5532.25
24,124.0625,5770.25
10,124.0625,5859.75
5,124.0625,5911.75
51,124.0625,6098.75
48,124.0625,6147.75
42,124.0625,6240.25
33,124.0625,6425.75
30,124.0625,6513.25
29,124.0625,6561.25
32,124.0625,6880.25
49,124.03125,7027.75
44,124.03125,7155.75
1,124.015625,7706.25
2,124.015625,7742.25
3,124.015625,7777.25
15,124.09375,8120.25
59,124.078125,8172.75
42,124.078125,8228.25
59,124.0625,8324.75
33,124.0625,8413.75
58,124.0625,8606.25
36,124.0625,8750.75
24,124.0625,8842.25
19,124.0625,8887.75
49,4.0625,9658.75
46,124.0625,9577.25
49,124.0625,9763.25
50,124.0625,9812.75
54,124.0625,9903.75
4,124.0625,10086.25
8,124.0625,10135.75
30,124.03125,118.25
53,124.046875,2177.25
27,124.046875,2358.75
61,124.046875,2537.25
59,124.0625,2941.75
45,124.046875,3425.75
34,124.046875,3520.25
26,124.046875,3622.25
26,124.046875,3707.25
19,124.015625,4146.25
26,124.453125,4832.75
13,124.46875,4924.75
30,124.0625,5732.25
58,124.0625,6016.25
45,124.0625,6207.25
31,124.0625,6480.25
29,124.0625,6582.75
29,124.0625,6668.25
31,124.0625,6766.25
48,124.03125,7121.25
2,124.015625,7670.75
2,124.015625,7763.75
4,124.015625,7856.75
10,124.09375,8132.75
56,124.0625,8335.75
9,124.0625,8522.75
35,124.0625,8762.75
29,124.0625,8805.25
5,124.0625,9056.25
47,4.0625,9670.75
46,124.0625,9590.25
46,124.0625,9643.75
48,124.0625,9734.25
53,124.0625,9868.25
58,124.0625,9963.25
5,124.0625,10099.25
20,4.0625,10417.25
44,4.03125,10603.75
30,124.03125,131.25
6,124.03125,372.25
8,124.03125,524.75
8,4.109375,895.25
36,124.125,1852.75
28,124.046875,2360.25
35,124.046875,2403.75
48,124.046875,2451.25
11,124.0625,2586.75
27,124.0625,2846.75
11,124.078125,2982.75
26,124.078125,3024.75
50,124.046875,3291.25
47,124.046875,3378.75
45,124.046875,3430.25
40,124.046875,3478.75
25,124.046875,3662.25
28,4.046875,3914.25
2,124.453125,4787.25
25,124.453125,4834.25
13,124.453125,4880.25
22,124.46875,4972.25
28,124.53125,5248.75
11,116.546875,5435.25
26,124.546875,5727.75
23,124.0625,5783.75
9,124.0625,5879.75
58,124.0625,6021.25
54,124.0625,6062.25
47,124.0625,6155.25
38,124.0625,6297.75
34,124.0625,6390.75
32,124.0625,6444.25
31,124.0625,6489.25
29,124.0625,6580.25
31,124.0625,6762.75
48,124.03125,7122.75
3,124.015625,7625.75
2,124.015625,7671.75
1,124.015625,7718.75
2,124.015625,7764.75
3,124.015625,7811.25
4,124.015625,7849.75
6,124.015625,7904.25
8,124.09375,8133.75
54,124.078125,8189.75
4,124.078125,8285.75
55,124.0625,8334.75
43,124.0625,8387.75
48,124.0625,8670.25
34,124.0625,8761.25
28,124.0625,8811.75
22,124.0625,8858.25
17,124.0625,8903.75
13,124.0625,8953.75
37,48.02079914163123,593.11911579519
96,6.960336891181784,471.43565750311257
98,273.8763792387543,973.1771979179804
93,358.7832989446434,245.54357472028298
13,308.81044721178245,781.5901070631774
77,239.12250481445935,426.3415311536105
27,351.4511852952536,703.5324999080258
91,197.435349478686,739.5163751326658
84,197.053808005788,632.3226291087093
22,147.09944097064474,931.2242087431488
63,236.35442687203727,401.83871105406286
88,239.32281066130201,315.3770081735723
18,198.57085313183774,812.880765868958
44,107.72258492596714,991.3512444635686
49,80.23875601289772,769.9017280502213
12,147.18115383116583,565.4636613993803
48,314.55793160904955,463.2607462644204
89,222.1092321719093,841.4662303634356
90,17.18388935136613,331.33840001887415
32,126.75372938329576,964.7445631344705
74,242.76940667421871,884.1654726529695
87,145.9816307491853,499.8293341220105
48,325.88483019296336,377.4240687344711
95,228.96381969372862,924.8535081239643
55,350.68189373706616,28.734537321113528
49,276.4803091293538,648.2131893611102
0,206.75627131832343,674.8870337431813
37,1.8842801013571808,400.8222078633119
74,114.77686820289475,609.8322560820932
56,4.9810595758279685,398.8518970991007
67,78.4877247658829,882.7157644309656
97,291.7582896858164,12.88869248906388
57,58.2883230914767,361.3379898890251
33,31.947275003073614,566.5174972930059
97,205.1421479539136,184.0852288974234
37,86.47385305976566,44.666603705947885
22,144.20100442183445,405.3433715452562
76,255.6516892475668,828.6612286987967
0,6.927844156415586,747.8293177507429
31,178.82631613759148,260.6355872985748
89,311.5783186685489,289.61564219028025
52,358.6928661224122,89.55432913973615
13,249.66053980688878,270.9996662056485
88,13.062990514920486,697.2123637621744
68,302.66263511355476,57.37273922431052
79,309.4918524390439,489.3647898434081
66,332.1549011312527,522.7502811946629
10,271.64079640494907,522.5519923625197
35,131.80420517178825,177.9526647120445
51,47.19283244524802,775.0395584005191
81,118.17969221954408,672.1703360111923
73,135.2852784277207,141.17187472283877
64,101.88818625229545,276.0568338833589
48,266.98474073223156,583.1192259449133
81,289.0891528377538,659.2171655697607
96,61.99668340063671,413.3310422477523
9,25.635972579098933,568.3672159015408
48,149.60258670464913,317.81175998125633
34,257.8372082260997,844.8618936325
52,122.66932342010705,948.1807001881057
59,29.015150314081417,626.345841841133
19,180.71678335647943,565.336086318892
52,214.23741387263135,560.4988258676888
60,94.23362576797787,55.58809864184611
86,157.89689752479592,610.0630264089019
41,278.97821256824164,699.4888030097889
84,124.45765728124519,376.4424040073424
65,32.27007074048605,860.8966268680724
71,242.135684952123,10.56632076280617
45,317.9730148357319,615.9919821416472
49,185.8207537845013,877.9739237979799
1,38.25285847043466,708.0656698600748
7,34.50057718580335,463.275409641995
39,192.91340847644318,802.9158004525723
96,224.5736205737393,252.88898531183014
45,108.92500647809067,351.2559488776368
45,261.5959178922408,342.1457950067721
65,223.8347239547857,256.2272630308097
96,1.354712330276202,231.77447799402606
46,170.3395000269138,134.2700592098509
46,43.92635349718968,853.9204627304517
74,302.56574615538455,344.6813799828212
39,9.692977207465372,602.7829245894031
72,194.93701394409746,798.252232698045
71,140.3048532428795,389.47412004306847
22,322.80186540245575,285.15019593559964
74,19.317257404947206,890.7398886611871
38,347.79650739263883,517.7695641994525
72,104.89884669634276,798.231213222781
2,262.6372259244347,219.78903875220036
24,334.68476042872885,275.4001207241126
0,58.22754669561142,715.0211000418111
24,93.25031585326509,392.32406115541073
92,339.18545838964894,729.395039228822
73,40.726939642290276,645.6414398196936
60,25.326428297551473,649.7987310499136
7,344.94227136347155,568.3358291814201
74,288.75413958152524,287.50476934569235
15,271.3096275631668,557.8423295416349
31,79.14176177896023,392.39259699588314
29,337.47346310585255,35.585521922247956
30,5.350684645905126,840.7927236090309
45,248.25832711288504,276.9873102873013
35,151.40969808194555,719.4096938700281
100,292.38742090602966,600.1248131975574
69,98.35552349788934,40.86815686469192
75,252.88766685559438,868.1968716214653
37,277.78166352287235,634.1545681487374
42,163.04971400596585,165.71885246467454
19,135.1109520143333,426.01853169537895
28,52.59494721726281,762.0273782452982
81,100.96500645428759,293.16057815901684
28,263.06785655050174,753.3942642837873
23,233.42202585455397,354.79570660712966
5,134.1104944033045,187.14318767821857
48,84.32441213585771,500.12222581675593
71,1.2578751684792078,753.1085567508281
63,219.45492130077236,374.38045231517634
50,101.8651566678341,458.8129587651124
71,301.24498303469187,274.0185372105574
68,90.39002894820847,810.070587063277
10,102.93238181322162,91.82278361304297
99,244.67990707981573,81.46052637323142
35,232.23558726897923,25.343878761988847
2,347.49099052264495,423.32056833749334
17,167.99570331864845,651.0856835429158
50,13.899151538868342,251.77111856400637
18,354.4325488708941,391.9078392041466
82,249.63810325534544,403.0889563092045
23,272.5165748750868,158.28169843672202
38,138.38918002552802,285.39807329988355
60,179.5839842770018,699.4881543568868
75,356.02849068321336,159.73125847858827
41,121.35447203787535,853.2320286904737
11,121.56778585404528,486.72180940389944
93,81.44198429506905,720.120930681476
52,141.56562858179478,692.7791168547678
74,338.59886648170885,58.23211006312712
27,216.60675762578583,181.4353688677598
90,102.17346698979864,929.0215197596281
43,195.5510082196721,593.0252102810354
92,321.39010694597823,945.0216058224737
100,354.2319250355762,404.6612533419317
15,111.07161256455811,902.176697616209
51,203.5021221334268,402.5710705801927
82,314.9619067532179,711.0517752115446
76,274.9379227096187,324.04365711891046
36,59.73464946622788,986.195535140809
41,143.34267147782433,136.01674329431313
32,303.2201285188089,567.1116567897188
53,155.81915437287134,653.410228279636
89,196.42624852121963,438.2411836077378
21,282.8950277024143,52.096800575660126
27,86.19383311473189,900.0318412921804
25,189.38574750029656,67.80242267065273
32,28.202370507448585,284.68735968197376
66,297.68190149502686,274.9920496580277
53,358.64315652568627,565.3615376855582
40,66.86156828062269,69.13651808005794
17,11.35629468985741,866.2877024352207
33,7.168724177438173,400.57714349968086
0,19.899137069251736,276.5552105771915
81,160.72070910478453,567.4275691549566
23,325.2394929947852,105.41914717155754
42,37.87402781134207,295.214707722286
4,228.13729725879156,632.6621181734673
12,193.9765454131682,411.6338342793935
13,54.41925865161336,332.6125740298852
46,196.09614191127955,224.17867628070076
32,206.38118423543702,766.9754529394206
36,345.98741108785083,335.1823950877832
80,48.95277252136187,899.8284163316849
88,8.451243778601834,211.06022642146684
65,144.76681338411404,519.6089052557371
97,299.8622126939395,243.9138681110231
49,76.15701804967016,705.419587544097
1,190.08856615410727,127.04925298773928
59,327.39509139990395,340.86176035791993
20,183.49442891246056,215.19789360940567
45,309.81677671289975,61.583954065144056
43,117.16554753771787,439.9005414368066
97,213.03917337055108,955.9354095067846
100,308.6850204239143,510.24811422360597
13,37.78342620077535,215.23990453549723
58,30.067192425027645,696.644002760788
75,158.34672201340612,706.7565834561423
49,335.29659365595137,93.16366544708099
39,166.55405459165496,110.8986000670491
19,245.98369391227766,602.1269010635029
45,343.6364410695112,643.2080704482163
23,239.81848875524582,574.4287270738644
83,282.7759182805528,109.74484597838452
92,262.5551056972369,32.92693869687646
39,220.5893730126203,757.3107893590561
17,269.77067059797287,902.2921659716291
12,244.1199839002147,169.02887406259703
71,289.0248822595676,168.84266184931852
32,239.4524485775457,169.84550953147493
59,165.63208065730507,775.7598097617707
29,18.662100221621397,104.103876974862
77,141.4801248373083,145.39739742730862
75,333.4271724562353,834.1964908922752
89,163.86763922589608,462.75923793926376
62,309.66740990838105,513.9105833657244
75,293.53244979842566,109.53390484993231
14,77.46623369255217,833.4600547458629
75,198.56767681261496,346.59826660111935
67,350.9438133967732,259.19007996605393
43,101.90493292916265,170.97268003667975
10,34.53941466354651,707.4461941020876
79,177.78535414867534,643.7928390250556
18,13.439859028879383,168.69864922653178
93,108.90948098358913,821.7554058687942
21,297.5282728361313,104.117513041449
47,223.57876375802815,192.6484904530462
67,197.71861152506895,957.8213036441888
80,236.61971717862303,217.47147411649303
2,95.70954575421273,517.2018348872392
18,229.7584809030281,468.1245650401364
6,37.4743507906527,244.1971550350993
14,137.9645610093086,248.50907820408085
51,343.5090361287514,767.4642230558741
69,109.47628467350367,981.791560962815
88,342.7515295122772,476.8413097379878
90,203.64316933933384,323.3707035091624
95,188.2859418836262,313.4084772937157
9,284.4982036073711,674.1816854016483
64,275.0762648666503,312.72202424883125
81,279.86297037450606,940.6614397011555
88,241.06473596157724,54.873246037247746
75,359.32093988221084,880.022296254789
80,84.18981152814838,679.9208991424791
73,173.06852001413742,658.4737136525994
10,0.5802817843664032,936.5756192155578
45,160.30604464373118,356.3287113124414
63,138.08989320984335,721.5764899471175
81,300.1034109047946,276.4027458301006
4,351.78828609628397,160.82251339637665
94,21.723503763919886,555.7568820603299
68,333.2088763887318,480.44551131845316
0,123.78427053744028,625.7586705719178
74,181.5997278856735,523.6735647051709
97,307.0463035828746,946.141296095559
45,272.6510285165847,100.94960855613255
2,42.408081415598346,883.1446130451
59,332.8393651838488,504.97824484039756
85,167.82727374866002,273.8066917225769
67,238.33384967638926,706.7794266838282
35,238.5728899573599,234.411819938255
33,88.7638279602592,757.7273669245758
56,354.1406332685522,2.6072716288160214
75,154.8798741998084,625.66678192292
36,296.6906852694479,378.3418535099755
80,236.26815243201713,781.640044908598
59,154.80776780549266,817.264735327152
88,185.95874436122824,912.4331249099668
88,278.37249785945005,483.0236620600149
52,192.50428887378942,171.94262850674525
75,317.69107592946347,133.34426186738213
29,71.65806095012145,937.8711974789212
80,157.41030663256336,590.680451362348
77,61.97274466815122,611.1930575876795
25,253.61418116972735,459.2158476259697
53,174.01227905185073,945.3047913841503
21,211.1681367582727,627.3574105327523
5,141.04425295968383,418.15762784922094
0,124.32858419472134,286.4972531894363
16,337.3633863369589,62.98280847710802
11,233.309103870457,610.1563136952135
18,180.19920351334076,655.8303390964646
7,62.01888996409859,221.14619236321488
44,222.3427724464902,247.07826430160685
2,232.6391595960546,166.2719602610684
7,124.10041126272309,595.4522379699557
14,80.27795544983938,437.2953191490103
1,19.580306920709983,72.50490787793795
44,144.4080817906161,124.5838184820257
19,343.84784121886617,747.6949709458211
3,231.54108649034512,992.6217839826766
48,359.0097756727828,949.2804685685809
62,20.281434779759447,623.8348576481266
87,337.1559492516787,443.24054882039553
89,290.14787555893787,497.55242892918284
64,92.24456832185153,296.63991646289713
8,280.8922471132968,494.26432226582864
17,94.91235498620628,5.359992044131179
41,132.38568848518892,669.6122261566378
26,95.00089783263466,903.934495334002
79,35.004160468416735,433.16910112355214
55,220.5561122623409,227.84974045517149
55,164.74697937627036,325.886422900144
99,65.49823654959786,427.24307376813164
20,38.16922062081539,118.39794820159155
79,33.41833913988788,166.61109874205604
51,78.2148851209782,73.65428556192977
71,347.43750038694,237.73193644211432
58,182.97318432871828,7.391779699978396
46,72.97649313401648,954.9230615235524
79,97.0249496606658,74.83638069896337
3,142.84274481144956,683.3720330284231
17,291.40710315626234,110.16767946802308
38,195.86347652960737,672.907657241478
33,203.25211675469632,343.8190455396317
49,329.01699018188367,772.9763100894903
28,339.4936291121524,541.5355598875473
12,3.9611115081540804,55.95552959813666
23,317.4769658375507,46.54159673024905
83,189.54265020825846,289.94389392247786
21,144.78518091935865,594.789748904979
97,245.2571013429425,527.9266643730197
14,21.325717918424523,651.2331686768177
26,323.82508680221025,422.4775793717548
50,80.07621961876895,798.0008326655089
22,309.7408659549919,610.1036262009803
16,296.41655902913976,169.22690790450213
29,242.581660010185,60.454820663434106
63,353.05933221809335,423.73287706530624
32,12.472657092663093,891.4359042193123
47,17.549097688402387,541.6874421095199
51,30.210440936960655,440.13031633303757
6,333.7234197621583,924.6731151723503
67,9.587910595780116,124.5838095288987
90,333.5283866577683,68.91228412111417
68,196.47828740642186,575.9296532814027
69,313.10919821753373,314.7410434287428
84,54.69569440970331,244.23456409872946
71,139.87201681905904,947.232741759114
53,356.5050984802886,727.3425999036386
81,186.56526991613953,715.2136697290574
22,93.44285393258461,302.1457986328785
71,297.8360552315842,623.1209291712975
95,110.65716699312544,971.8818964507304
80,335.1272299482474,561.0645977348786
51,72.5105328082349,36.759916022682916
23,176.06340241231868,299.0409905168743
20,197.6416233672121,950.4077154980254
51,13.396740638953837,826.7147636480038
37,293.6783447239171,954.4689840126536
99,270.24518008513877,503.25554515502256
7,283.69157239378995,581.805070503987
38,296.7326115267113,287.86117576835045
71,103.94359364595017,409.50261037967863
36,203.40874257318498,900.8376164828135
5,152.96353337266058,45.52036997502906
0,218.2788008274617,761.0582387850732
27,214.89843259973853,109.00581867272973
61,262.218227357085,489.7134763600908
25,259.1916493607003,608.5687350219271
3,132.32074157379324,337.89266159781573
9,89.73020676905631,875.4070533549151
5,348.54612854506814,245.13814772759056
31,189.56178756893172,314.7051186402737
30,232.94733993324604,158.73913960767126
77,53.79303227907978,616.6949247901839
75,158.70205588675896,402.9742068169657
85,93.40301981831506,293.5240234223079
35,216.48015086438534,30.7049273324872
48,119.54803315853653,287.8349045833807
11,90.23594039410337,350.65240769684027
59,114.56854622206502,485.0427405205821
5,82.8506959472671,742.8147845782045
75,281.0866080757863,201.83467660457777
50,252.83793519016075,703.4523932316621
32,8.433102736203356,992.9264774843278
93,305.00550406549996,756.7169306761225
87,27.066513696264423,757.3725595050266
25,318.77368352554896,830.0159517873276
55,320.46187646118204,3.971379229875893
81,117.79373396145708,224.31718742157713
4,259.23636706554856,225.42249771046252
0,335.35267000148855,14.809191809693978
24,301.7133530434078,729.199444381584
16,310.0349485856396,884.4198179910761
54,340.8023713538848,702.9553637043635
26,14.14336222460384,87.42042421879358
51,350.39638623759356,383.20303683805525
15,20.843236805085237,704.9190266892773
40,174.24160287038788,712.5598575732707
94,231.19802729844605,66.6802917752778
66,303.36930234577255,73.23628061567844
39,119.06723335972416,317.06631274585175
32,263.20609481490425,587.603815359117
96,246.28412561169336,325.7174138013734
88,233.41595658737953,811.9937774637103
43,179.3055881311607,715.872283034422
20,264.16088397611156,929.3707199482403
26,268.77737750272865,280.82197691722035
45,69.36592650877341,110.8841811962139
90,94.1395178898087,767.684196806131
87,90.72280899761427,453.8455346418262
88,197.08089540063617,981.5998794299842
74,289.44034620175177,226.54057499789903
69,325.7450304398065,408.00513319502596
45,171.1572972214635,7.655691987864421
45,298.8022383175314,986.4606332943962
33,149.3070534571438,665.3293307850595
15,140.86862025997542,577.0301153204357
8,112.01827614450526,165.94036601933294
93,57.305378541138474,813.3526621319606
58,80.64992473494239,886.6111264044572
84,87.07436428215497,195.29405611803807
14,114.27642978553897,659.811952025076
53,267.1351491551799,549.4129604057038
14,63.04654831851175,727.940796756189
58,328.20359178827493,234.08091728985258
72,200.9612931131545,491.01708778345153
39,258.41919150324287,557.6082797197032
77,58.35397761498619,296.6942534205762
42,42.122876765323596,307.317625289631
34,346.7955616375381,618.384308355087
54,1.9287337544071148,608.6355889414996
68,10.174491621879751,246.4281778711086
59,258.69765899570865,463.4895187666198
31,287.9564400482182,282.1605619623313
70,257.39257219503844,648.5840211852523
57,212.79866596439484,310.1489273987004
65,167.64951271105332,963.1015017043017
83,348.1042848340219,151.34949829779742
41,44.64790871046088,260.5417904172703
20,62.870398086980785,435.7497176371059
23,204.61615693432802,659.2992762811297
3,227.91501496153228,165.20446857230985
12,200.6849150466448,696.1756008995252
69,118.09318308351303,153.8854142340097
49,157.87264779718484,13.082705915156811
12,221.65502918188602,39.865403643024266
41,69.44939688184176,133.4622516644056
12,266.2378737336745,705.1646659365248
62,57.57267136059522,853.8919708762181
27,159.27895619303257,726.5904478396121
39,255.1586697358647,997.9548956024757
86,184.31781185192474,180.81630374370206
46,296.11222368170104,437.9512183249722
52,227.81391592600477,546.135692957478
30,115.46962408587788,308.32533781340464
60,31.19829868313529,859.8743743222881
97,138.30177212665447,351.5700588139531
75,1.1624068268163334,942.5207973953353
11,78.45615994294656,583.2842292969166
78,62.298423599961,909.4693830743877
64,354.37347766919527,430.58870074942143
49,267.9258277186862,299.08799549038366
79,180.4359405433536,52.5860455847037
13,161.46381633905395,694.4514312546814
74,34.45056850917504,759.8810893488279
63,122.49912289962455,443.6328943058099
1,334.3311982334147,870.5177377041805
74,329.75340439169446,913.1236501505042
4,231.714176512706,375.30509072686533
32,22.201066708763832,79.53821342241073
74,65.88030051692161,931.4823472506358
86,181.37117991542894,805.4415290840761
48,114.42750501132275,291.54298564736314
94,291.1173174357983,489.68702172185675
96,241.9786732646195,59.591790412572344
41,150.6498375259273,60.3645606551203
20,128.22127163211093,170.02932024258254
33,47.607165069562555,876.858137135282
97,23.65345172479681,933.2126360960086
52,101.82824983794164,165.47848190977464
6,296.92152776782245,394.7262286278028
29,93.10618327655298,688.9809815724818
100,34.11224796238344,788.0803326384098
28,313.295924501987,482.8681458162941
79,229.1547242560624,914.1103804858968
5,299.28805318984394,988.1642042278497
7,274.9200493102194,857.3271642938574
14,315.39041479027867,406.51047096896053
81,245.9880663058587,98.50376769277914
8,248.32535516996563,301.3576595795574
8,313.2352790538736,521.479964142169
54,171.39187715473807,706.996533088294
3,310.96953150234623,453.3382041821016
20,253.1752724430443,134.0957321377604
92,70.85519308316222,716.6333579742542
92,118.8954097487238,46.30066911046771
66,122.08903288216078,590.1841058916241
60,317.76437587811034,404.93813523145695
5,17.22559731816898,591.8257558960072
100,67.33247858283075,902.8877341749114
27,327.9577914843483,845.05361587102
31,326.02140995233304,60.916517095398916
95,296.02751263679926,957.8699469802694
52,19.87426121424178,842.2235968434562
47,279.2227716018519,792.9035552746839
78,149.54323016831927,164.02351659775206
60,133.6668402715653,540.8216744130469
85,13.56721670371928,695.6441335097074
9,27.324802087863556,490.69310124501254
55,335.16544784612046,648.3704950836849
42,174.3385431909153,973.2675972138138
29,323.01357277535294,52.627639528147526
89,283.9640337754049,60.5149229792179
54,64.95554605958458,107.76789343240823
92,319.4241045756968,75.60745014286819
53,104.17721358303905,978.2309504941322
58,189.62302104892552,247.5902243502347
88,352.52082775992466,910.7004254649725
2,215.25606567890267,637.3938615996656
43,223.0868145617013,465.7276593050387
73,29.15030829642295,379.5231378509519
44,149.26368642326582,73.85562275570557
59,161.10175960225635,830.6820263529673
47,276.6301052954669,516.8164068168586
4,110.69759002158936,189.6188236070643
98,340.7743789158787,405.6931745143644
57,38.522160020754534,637.8874976059975
86,231.50912545840873,981.8090137483974
14,216.37507403327032,884.1494844284346
47,147.4353182443759,525.7104803520125
21,308.75982893898004,344.71191434173977
39,306.345533370053,274.3982367349941
58,15.694371749082734,398.8008934159073
51,4.715325233161356,28.456117522815738
29,7.903841045658333,360.9811089441329
59,224.13967206989517,484.0108914346828
48,19.450080684973944,157.31112454990836
31,270.9281534068104,966.016526750232
67,234.36199881670393,938.9491473964479
1,86.74764574538035,634.6118780940479
86,48.922811789523436,347.1056700780535
48,113.97790122723804,843.0522751206121
23,262.27429553374964,983.8744548205007
5,274.01566637112296,32.84276887177173
75,343.70757075492315,4.326312094045992
69,106.72803506257428,927.9640666871372
14,226.08000797607062,507.98847523785105
3,68.50392933988822,472.6441512307451
55,228.33437405738306,770.3544407805642
98,178.6027696762327,611.347529776536
10,184.78320168503822,478.7213804282742
64,307.4704895731432,498.1599481812894
64,27.68855735147335,632.4268036556786
32,50.15884564049349,155.42110936858245
93,328.72770338648576,875.6324457330267
80,39.207599932556015,689.4076415475998
11,204.7547012083695,949.168089738093
69,232.00768722668758,47.419027166091034
40,294.07770448124194,557.2573140728967
12,137.46948628008263,427.59102477669643
33,267.2112936437561,982.1249604198124
84,85.09086715100361,986.1222951479959
93,358.7737802701361,468.94105048422773
71,133.5686316158145,535.9279641008524
87,38.098657646586496,550.7454501110384
77,235.6018220254495,453.8180707080202
12,104.62833044939043,75.51660586478759
88,135.7783539249575,503.48242102562335
94,140.03268610264018,623.7113369471214
26,205.6477205029817,289.01432536656466
82,327.93094126141347,803.6710249505522
89,188.74840239386035,877.4865970830817
90,141.4460920348552,292.5234906966797
33,349.2857778844394,296.4776765534859
91,17.24151686107298,652.347702996593
35,252.44961584933398,995.4763468808029
95,61.506198714343164,817.2635312044772
